,word1,word2,n,WORK,COMMUNITY,FAMILY
1,coal,company,69,Y,,
2,NA,NA,66,,,
3,mine,workers,20,Y,,
4,world,war,19,Y,,
5,coal,companies,17,Y,,
6,forest,city,15,Y,,
7,iron,police,15,Y,,
8,glen,alden,13,Y,,
9,hudson,coal,13,Y,,
10,united,mine,11,Y,,
11,catholic,church,10,,Y,
12,company,store,10,,Y,
13,ice,truck,10,,Y,
14,chain,stores,9,,Y,
15,molly,mcguires,9,,Y,
16,st,josephs,9,,Y,
17,boarding,houses,8,,Y,
18,breaker,boss,8,,Y,
19,grocery,store,8,,Y,
20,sheet,iron,8,,Y,
21,soft,coal,8,,Y,
22,boarding,house,7,,Y,
23,coal,mines,7,,Y,
24,company,stores,7,,Y,
25,lehigh,valley,7,Y,,
26,mining,industry,7,Y,,
27,polish,national,7,Y,,
28,scranton,coal,7,Y,,
29,section,forman,7,Y,,
30,black,lung,6,Y,,
31,breaker,boy,6,Y,,
32,company,owned,6,Y,,
33,hard,times,6,Y,,
34,holy,trinity,6,,Y,
35,national,church,6,,Y,
36,penn,anthracite,6,Y,,
37,rhode,island,6,,,
38,roman,catholic,6,,Y,
39,street,car,6,,Y,
40,alden,coal,5,Y,,
41,anthracite,region,5,,,
42,butcher,shop,5,,Y,
43,contract,miner,5,Y,,
44,due,bill,5,,,Y
45,father,lived,5,,,Y
46,hundred,dollars,5,,,
47,main,street,5,,Y,
48,mining,company,5,Y,,
49,molly,mcguries,5,,Y,
50,polish,people,5,,Y,
51,political,figures,5,,Y,
52,port,chester,5,,,
53,providence,rhode,5,,,
54,religious,holidays,5,,,Y
55,section,foreman,5,Y,,
56,shaker,shoot,5,Y,,
57,silk,mills,5,Y,,
58,speak,english,5,Y,Y,
59,store,keeper,5,,Y,
